FK_Article_Type	Article	Type	ArticleType	Oid
FK_DocumentFinanceYearSerieTerminal_CreatedWhere	DocumentFinanceYearSerieTerminal	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationUnitMeasure_CreatedBy	ConfigurationUnitMeasure	CreatedBy	UserDetail	Oid
FK_ArticleSubFamily_CreatedWhere	ArticleSubFamily	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserProfile_DeletedBy	UserProfile	DeletedBy	UserDetail	Oid
FK_DocumentFinanceYearSerieTerminal_DeletedBy	DocumentFinanceYearSerieTerminal	DeletedBy	UserDetail	Oid
FK_ConfigurationUnitMeasure_CreatedWhere	ConfigurationUnitMeasure	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_DeletedBy	ArticleSubFamily	DeletedBy	UserDetail	Oid
FK_UserProfile_DeletedWhere	UserProfile	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYearSerieTerminal_DeletedWhere	DocumentFinanceYearSerieTerminal	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationUnitMeasure_DeletedBy	ConfigurationUnitMeasure	DeletedBy	UserDetail	Oid
FK_ArticleSubFamily_DeletedWhere	ArticleSubFamily	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_UserProfile_UpdatedBy	UserProfile	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceYearSerieTerminal_DocumentType	DocumentFinanceYearSerieTerminal	DocumentType	DocumentFinanceType	Oid
FK_ConfigurationUnitMeasure_DeletedWhere	ConfigurationUnitMeasure	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_DiscountGroup	ArticleSubFamily	DiscountGroup	CustomerDiscountGroup	Oid
FK_UserProfile_UpdatedWhere	UserProfile	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYearSerieTerminal_FiscalYear	DocumentFinanceYearSerieTerminal	FiscalYear	DocumentFinanceYears	Oid
FK_ConfigurationUnitMeasure_UpdatedBy	ConfigurationUnitMeasure	UpdatedBy	UserDetail	Oid
FK_ArticleSubFamily_Family	ArticleSubFamily	Family	ArticleFamily	Oid
FK_WorkSessionMovement_CreatedBy	WorkSessionMovement	CreatedBy	UserDetail	Oid
FK_DocumentFinanceYearSerieTerminal_Printer	DocumentFinanceYearSerieTerminal	Printer	ConfigurationPrinters	Oid
FK_ConfigurationUnitMeasure_UpdatedWhere	ConfigurationUnitMeasure	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_Printer	ArticleSubFamily	Printer	ConfigurationPrinters	Oid
FK_WorkSessionMovement_CreatedWhere	WorkSessionMovement	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYearSerieTerminal_Serie	DocumentFinanceYearSerieTerminal	Serie	DocumentFinanceSeries	Oid
FK_ConfigurationUnitSize_CreatedBy	ConfigurationUnitSize	CreatedBy	UserDetail	Oid
FK_ArticleSubFamily_Template	ArticleSubFamily	Template	ConfigurationPrintersTemplates	Oid
FK_WorkSessionMovement_DeletedBy	WorkSessionMovement	DeletedBy	UserDetail	Oid
FK_DocumentFinanceYearSerieTerminal_Template	DocumentFinanceYearSerieTerminal	Template	ConfigurationPrintersTemplates	Oid
FK_ConfigurationUnitSize_CreatedWhere	ConfigurationUnitSize	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_UpdatedBy	ArticleSubFamily	UpdatedBy	UserDetail	Oid
FK_WorkSessionMovement_DeletedWhere	WorkSessionMovement	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYearSerieTerminal_Terminal	DocumentFinanceYearSerieTerminal	Terminal	ConfigurationPlaceTerminal	Oid
FK_ConfigurationUnitSize_DeletedBy	ConfigurationUnitSize	DeletedBy	UserDetail	Oid
FK_ArticleSubFamily_UpdatedWhere	ArticleSubFamily	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovement_DocumentFinanceMaster	WorkSessionMovement	DocumentFinanceMaster	DocumentFinanceMaster	Oid
FK_DocumentFinanceYearSerieTerminal_UpdatedBy	DocumentFinanceYearSerieTerminal	UpdatedBy	UserDetail	Oid
FK_ConfigurationUnitSize_DeletedWhere	ConfigurationUnitSize	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_VATDirectSelling	ArticleSubFamily	VATDirectSelling	ConfigurationVatRate	Oid
FK_WorkSessionMovement_DocumentFinancePayment	WorkSessionMovement	DocumentFinancePayment	DocumentFinancePayment	Oid
FK_DocumentFinanceYearSerieTerminal_UpdatedWhere	DocumentFinanceYearSerieTerminal	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationUnitSize_UpdatedBy	ConfigurationUnitSize	UpdatedBy	UserDetail	Oid
FK_ArticleSubFamily_VATOnTable	ArticleSubFamily	VATOnTable	ConfigurationVatRate	Oid
FK_WorkSessionMovement_Terminal	WorkSessionMovement	Terminal	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderDetail_Article	DocumentOrderDetail	Article	Article	Oid
FK_ConfigurationUnitSize_UpdatedWhere	ConfigurationUnitSize	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleType_CreatedBy	ArticleType	CreatedBy	UserDetail	Oid
FK_WorkSessionMovement_UpdatedBy	WorkSessionMovement	UpdatedBy	UserDetail	Oid
FK_DocumentOrderDetail_CreatedBy	DocumentOrderDetail	CreatedBy	UserDetail	Oid
FK_ConfigurationVatExemptionReason_CreatedBy	ConfigurationVatExemptionReason	CreatedBy	UserDetail	Oid
FK_ArticleType_CreatedWhere	ArticleType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovement_UpdatedWhere	WorkSessionMovement	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderDetail_CreatedWhere	DocumentOrderDetail	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationVatExemptionReason_CreatedWhere	ConfigurationVatExemptionReason	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleType_DeletedBy	ArticleType	DeletedBy	UserDetail	Oid
FK_WorkSessionMovement_UserDetail	WorkSessionMovement	UserDetail	UserDetail	Oid
FK_DocumentOrderDetail_DeletedBy	DocumentOrderDetail	DeletedBy	UserDetail	Oid
FK_ConfigurationVatExemptionReason_DeletedBy	ConfigurationVatExemptionReason	DeletedBy	UserDetail	Oid
FK_ArticleType_DeletedWhere	ArticleType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovement_WorkSessionMovementType	WorkSessionMovement	WorkSessionMovementType	WorkSessionMovementType	Oid
FK_DocumentOrderDetail_DeletedWhere	DocumentOrderDetail	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationVatExemptionReason_DeletedWhere	ConfigurationVatExemptionReason	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleType_UpdatedBy	ArticleType	UpdatedBy	UserDetail	Oid
FK_WorkSessionMovement_WorkSessionPeriod	WorkSessionMovement	WorkSessionPeriod	WorkSessionPeriod	Oid
FK_DocumentOrderDetail_OrderTicket	DocumentOrderDetail	OrderTicket	DocumentOrderTicket	Oid
FK_ConfigurationVatExemptionReason_UpdatedBy	ConfigurationVatExemptionReason	UpdatedBy	UserDetail	Oid
FK_ArticleType_UpdatedWhere	ArticleType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovementType_CreatedBy	WorkSessionMovementType	CreatedBy	UserDetail	Oid
FK_DocumentOrderDetail_UpdatedBy	DocumentOrderDetail	UpdatedBy	UserDetail	Oid
FK_ConfigurationVatExemptionReason_UpdatedWhere	ConfigurationVatExemptionReason	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCashRegister_CreatedBy	ConfigurationCashRegister	CreatedBy	UserDetail	Oid
FK_WorkSessionMovementType_CreatedWhere	WorkSessionMovementType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderDetail_UpdatedWhere	DocumentOrderDetail	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationVatRate_CreatedBy	ConfigurationVatRate	CreatedBy	UserDetail	Oid
FK_ConfigurationCashRegister_CreatedWhere	ConfigurationCashRegister	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovementType_DeletedBy	WorkSessionMovementType	DeletedBy	UserDetail	Oid
FK_DocumentOrderMain_CreatedBy	DocumentOrderMain	CreatedBy	UserDetail	Oid
FK_ConfigurationVatRate_CreatedWhere	ConfigurationVatRate	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCashRegister_DeletedBy	ConfigurationCashRegister	DeletedBy	UserDetail	Oid
FK_WorkSessionMovementType_DeletedWhere	WorkSessionMovementType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderMain_CreatedWhere	DocumentOrderMain	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationVatRate_DeletedBy	ConfigurationVatRate	DeletedBy	UserDetail	Oid
FK_ConfigurationCashRegister_DeletedWhere	ConfigurationCashRegister	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionMovementType_UpdatedBy	WorkSessionMovementType	UpdatedBy	UserDetail	Oid
FK_DocumentOrderMain_DeletedBy	DocumentOrderMain	DeletedBy	UserDetail	Oid
FK_ConfigurationVatRate_DeletedWhere	ConfigurationVatRate	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCashRegister_UpdatedBy	ConfigurationCashRegister	UpdatedBy	UserDetail	Oid
FK_WorkSessionMovementType_UpdatedWhere	WorkSessionMovementType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderMain_DeletedWhere	DocumentOrderMain	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationVatRate_UpdatedBy	ConfigurationVatRate	UpdatedBy	UserDetail	Oid
FK_ConfigurationCashRegister_UpdatedWhere	ConfigurationCashRegister	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriod_CreatedBy	WorkSessionPeriod	CreatedBy	UserDetail	Oid
FK_DocumentOrderMain_PlaceTable	DocumentOrderMain	PlaceTable	ConfigurationPlaceTable	Oid
FK_ConfigurationVatRate_UpdatedWhere	ConfigurationVatRate	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCountry_CreatedBy	ConfigurationCountry	CreatedBy	UserDetail	Oid
FK_WorkSessionPeriod_CreatedWhere	WorkSessionPeriod	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderMain_UpdatedBy	DocumentOrderMain	UpdatedBy	UserDetail	Oid
FK_Customer_Country	Customer	Country	ConfigurationCountry	Oid
FK_ConfigurationCountry_CreatedWhere	ConfigurationCountry	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriod_DeletedBy	WorkSessionPeriod	DeletedBy	UserDetail	Oid
FK_DocumentOrderMain_UpdatedWhere	DocumentOrderMain	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_Customer_CreatedBy	Customer	CreatedBy	UserDetail	Oid
FK_ConfigurationCountry_DeletedBy	ConfigurationCountry	DeletedBy	UserDetail	Oid
FK_WorkSessionPeriod_DeletedWhere	WorkSessionPeriod	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderTicket_CreatedBy	DocumentOrderTicket	CreatedBy	UserDetail	Oid
FK_Customer_CreatedWhere	Customer	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCountry_DeletedWhere	ConfigurationCountry	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriod_Parent	WorkSessionPeriod	Parent	WorkSessionPeriod	Oid
FK_DocumentOrderTicket_CreatedWhere	DocumentOrderTicket	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_Customer_CustomerType	Customer	CustomerType	CustomerType	Oid
FK_ConfigurationCountry_UpdatedBy	ConfigurationCountry	UpdatedBy	UserDetail	Oid
FK_WorkSessionPeriod_Terminal	WorkSessionPeriod	Terminal	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderTicket_DeletedBy	DocumentOrderTicket	DeletedBy	UserDetail	Oid
FK_Customer_DeletedBy	Customer	DeletedBy	UserDetail	Oid
FK_ConfigurationCountry_UpdatedWhere	ConfigurationCountry	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriod_UpdatedBy	WorkSessionPeriod	UpdatedBy	UserDetail	Oid
FK_DocumentOrderTicket_DeletedWhere	DocumentOrderTicket	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_Customer_DeletedWhere	Customer	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCurrency_CreatedBy	ConfigurationCurrency	CreatedBy	UserDetail	Oid
FK_WorkSessionPeriod_UpdatedWhere	WorkSessionPeriod	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderTicket_OrderMain	DocumentOrderTicket	OrderMain	DocumentOrderMain	Oid
FK_Customer_DiscountGroup	Customer	DiscountGroup	CustomerDiscountGroup	Oid
FK_ConfigurationCurrency_CreatedWhere	ConfigurationCurrency	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriodTotal_CreatedBy	WorkSessionPeriodTotal	CreatedBy	UserDetail	Oid
FK_DocumentOrderTicket_PlaceTable	DocumentOrderTicket	PlaceTable	ConfigurationPlaceTable	Oid
FK_Customer_UpdatedBy	Customer	UpdatedBy	UserDetail	Oid
FK_ConfigurationCurrency_DeletedBy	ConfigurationCurrency	DeletedBy	UserDetail	Oid
FK_WorkSessionPeriodTotal_CreatedWhere	WorkSessionPeriodTotal	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentOrderTicket_UpdatedBy	DocumentOrderTicket	UpdatedBy	UserDetail	Oid
FK_Customer_UpdatedWhere	Customer	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCurrency_DeletedWhere	ConfigurationCurrency	DeletedWhere	ConfigurationPlaceTerminal	Oid
